Organization Group,Job,Total Compensation
"Public Works, Transportation & Commerce",Water Qualitytech I/II,117766.86
"Public Works, Transportation & Commerce",Soft Floor Coverer,41209.83
Community Health,Health Care Billing Clerk 2,110561.13
Community Health,Food Service Mgr Administrator,38624.97
"Public Works, Transportation & Commerce",School Crossing Guard,11438.16
Community Health,Nurse Practitioner,260280.95
"Public Works, Transportation & Commerce",Transit Operator,111057.08
General Administration & Finance,Attorney (Civil/Criminal),186781.38
Human Welfare & Neighborhood Development,Emp & Training Spec 2,103609.58
"Public Works, Transportation & Commerce",Transit Operator,116770.41
Public Protection,Police Officer,83708.17
"Public Works, Transportation & Commerce",Transit Supervisor,41410.32
"Public Works, Transportation & Commerce",Electrical Transit System Mech,126892.59
"Public Works, Transportation & Commerce","Operating Engineer, Universal",144124.98
Community Health,Clinical Nurse Specialist,234911.68
General Administration & Finance,Planner 3,135538.11
Community Health,Health Worker 2,60785.04
Culture & Recreation,General Laborer,101426.81
"Public Works, Transportation & Commerce",Electrical Transit System Mech,164957.88
Community Health,Eligibility Worker,19989.05
"Public Works, Transportation & Commerce",Custodial Assistant Supervisor,116198.42
"Public Works, Transportation & Commerce",IS Business Analyst-Senior,144858.43
"Public Works, Transportation & Commerce",Transit Operator,123651.29
"Public Works, Transportation & Commerce",General Laborer,24039.09
Community Health,Nursing Assistant,135836.04
Community Health,Physician Assistant,200540.78
General Administration & Finance,Planner 3,105297.9
Public Protection,Deputy Court Clerk III,127013.54
Public Protection,Lieutenant (Police Department),31290.44
Public Protection,Firefighter,184271.49
"Public Works, Transportation & Commerce",Transit Traffic Checker,107155.49
"Public Works, Transportation & Commerce",Transit Operator,107146.57
Public Protection,Police Officer,33237.52
Culture & Recreation,Chief Stationary Engineer,177666.01
"Public Works, Transportation & Commerce",Transit Operator,137999.65
Community Health,Porter,19599.7
"Public Works, Transportation & Commerce",Personnel Analyst,105187.77
Public Protection,Police Officer 2,200014.62
"Public Works, Transportation & Commerce",Housekeeper/Food Service Clnr,81365.18
Community Health,Institution Utility Worker,88147.33
"Public Works, Transportation & Commerce",Illustrator And Art Designer,42567.72
"Public Works, Transportation & Commerce",PS Aide To Prof,23906.2
Public Protection,Sheriff's Sergeant,204517.33
Culture & Recreation,Recreation Leader,11559.38
Community Health,Nutritionist,67367.97
"Public Works, Transportation & Commerce",Senior Personnel Clerk,26557.16
Community Health,Special Nurse,16877.59
"Public Works, Transportation & Commerce",Employment & Training Spec 3,119110.65
"Public Works, Transportation & Commerce",Utility Specialist,38594.71
"Public Works, Transportation & Commerce",Custodial Supervisor,102681.54
"Public Works, Transportation & Commerce",Accountant IV,133586.58
Public Protection,Police Officer,148979.57
Public Protection,IT Operations Support Admn III,130133.96
Public Protection,Police Cadet,18067.04
Community Health,Health Care Billing Clerk 1,91000.57
Community Health,Accountant II,116920.69
Community Health,Registered Nurse,210635.6
Community Health,Occupational Therapist,38423.68
Community Health,Nursing Assistant,106646.19
Human Welfare & Neighborhood Development,Senior Eligibility Worker,112575.18
Public Protection,Deputy Sheriff,150670.67
Public Protection,Firefighter,184552.33
Community Health,Public Health Team Leader,118230.31
Culture & Recreation,Admission Attendant,12016.52
Public Protection,EMT/Paramedic/Firefighter,251661.25
Public Protection,Deputy Sheriff (SFERS),158340.2
Community Health,Patient Care Assistant,128854.8
"Public Works, Transportation & Commerce",Junior Administrative Analyst,39779.93
Community Health,Food Service Worker,29481.47
"Public Works, Transportation & Commerce",Transit Supervisor,145031.3
"Public Works, Transportation & Commerce",Assoc Engineer,162433.83
Community Health,Registered Nurse,95877.57
Human Welfare & Neighborhood Development,Manager III,199419.99
Community Health,Special Nurse,13435.06
"Public Works, Transportation & Commerce",Senior Account Clerk,98837.37
Public Protection,Sheriff's Cadet,78677.64
Community Health,Licensed Vocational Nurse,94937.28
